Input	Result_address	GPS-north-lat	GPS-East-long	Eastings	Northings
MK40 2NT	MK40 2NT	52.141696	-0.459651	505507	250384
AL3 5JF	AL3 5JF	51.755586	-0.34391	514406	207619
SG5 1JN	SG5 1JN	51.949849	-0.279727	518324	229325
WD5 0HT	WD5 0HT	51.703252	-0.402543	510485	201708
AL4 0TZ	AL4 0TZ	51.74851	-0.293683	517891	206912
HP3 8BL	HP3 8BL	51.746408	-0.453098	506890	206432
CM23 3LB	not found	0	0	0	0
WD17 3XE	WD17 3XE	51.659129	-0.405266	510404	196797
SG13 7HX	SG13 7HX	51.799856	-0.05952	533903	213026
WD6 1WA	WD6 1WA	51.659614	-0.268484	519865	197067
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
HP1 1LD	HP1 1LD	51.755076	-0.472318	505543	207368
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
HP3 9JW	HP3 9JW	51.747382	-0.452551	506927	206542
AL5 4TA	AL5 4TA	51.819052	-0.352959	513622	214663
WD5 0HT	WD5 0HT	51.703252	-0.402543	510485	201708
SG1 4YS	SG1 4YS	51.928351	-0.214009	522899	227043
SG1 4YS	SG1 4YS	51.928351	-0.214009	522899	227043
SG5 1HF	SG5 1HF	51.950465	-0.283031	518097	229389
SG5 2EN	SG5 2EN	51.946596	-0.294557	517315	228940
SG1 4AB	SG1 4AB	51.924611	-0.212726	522999	226630
AL7 4HQ	AL7 4HQ	51.783371	-0.188611	525046	210963
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
AL3 5TL	AL3 5TL	51.761931	-0.34562	514272	208322
NR13 5EW	NR13 5EW	52.646496	1.409584	630751	310875
SG8 7DD	SG8 7DD	52.052534	-0.020718	535814	241198
CM7 2YN	CM7 2YN	51.886887	0.536178	574635	223964
CO3 4DB	CO3 4DB	51.891022	0.855361	596579	225237
AL3 4AU	AL3 4AU	51.745637	-0.354515	513699	206496
WD18 0JL	WD18 0JL	51.656295	-0.401601	510666	196488
AL8 6JE	not found	0	0	0	0
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
AL10 8YE	AL10 8YE	51.766985	-0.216688	523154	209093
WD7 9HQ	WD7 9HQ	51.702199	-0.305562	517189	201742
CM17 9NA	CM17 9NA	51.771411	0.128977	546990	210225
BS2 9RU	BS2 9RU	51.466587	-2.575506	360119	174337
EX39 3AG	EX39 3AG	51.017812	-4.212783	244891	126602
EX2 5AG	EX2 5AG	50.714782	-3.504168	293904	91653
EX31 4JB	EX31 4JB	51.092169	-4.050431	256506	134540
TQ3 2DW	TQ3 2DW	50.449075	-3.554532	289728	62181
TQ2 5RS	TQ2 5RS	50.469071	-3.535967	291092	64377
EX2 9JD	EX2 9JD	50.705328	-3.542287	291190	90656
EX6 8AB	EX6 8AB	50.681115	-3.506106	293690	87911
EX2 4TL	EX2 4TL	50.720943	-3.515344	293128	92353
EX16 6NT	EX16 6NT	50.909404	-3.492967	295131	113277
EX8 4DD	EX8 4DD	50.631362	-3.391975	301649	82221
TQ2 7AA	TQ2 7AA	50.482316	-3.553804	289857	65876
EX2 5AF	EX2 5AF	50.715395	-3.506298	293754	91723
EX7 0NR	EX7 0NR	50.599669	-3.468178	296190	78801
EX14 2DE	EX14 2DE	50.794926	-3.186577	316467	100156
EX2 5SN	EX2 5SN	50.714769	-3.503091	293980	91650
EX1 3PQ	EX1 3PQ	50.73179	-3.482394	295478	93512
EX2 9HS	EX2 9HS	50.712399	-3.549433	290703	91454
EX2 4NU	EX2 4NU	50.718023	-3.514982	293148	92029
EX2 5AG	EX2 5AG	50.714782	-3.504168	293904	91653
EX31 1QL	EX31 1QL	51.091227	-4.055902	256120	134446
RG12 7EP	not found	0	0	0	0
SL2 5BX	SL2 5BX	51.520082	-0.597729	497390	181061
RG18 3AS	RG18 3AS	51.406375	-1.291779	449358	167721
RG1 5LR	RG1 5LR	51.450745	-0.955523	472676	172935
RG40 1XJ	RG40 1XJ	51.410524	-0.831575	481360	168592
SL6 1LD	SL6 1LD	51.522297	-0.722108	488755	181149
BN3 4AG	BN3 4AG	50.830147	-0.184248	527971	104972
BN3 5PA	BN3 5PA	50.830777	-0.184863	527926	105041
BN3 7HY	BN3 7HY	50.842041	-0.189766	527550	106285
BN11 2ET	BN11 2ET	50.812943	-0.357769	515794	102773
PO19 6GU	PO19 6GU	50.846365	-0.770268	486672	105925
PO19 6GS	PO19 6GS	50.84668	-0.771155	486609	105959
PO19 6WD	PO19 6WD	50.850479	-0.772357	486441	106135
BN13 3EP	BN13 3EP	50.84121	-0.411162	511965	105834
BN13 3BW	not found	0	0	0	0
BN21 2UD	BN21 2UD	50.786969	0.271108	560184	101058
BN27 4EP	BN27 4EP	50.890082	0.263564	559298	112505
BN27 4HU	BN27 4HU	50.881826	0.275547	560170	111615
TN37 7PT	TN37 7PT	50.88769	0.561978	580294	112927
TN37 7PT	TN37 7PT	50.88769	0.561978	580294	112927
TN22 5AW	TN22 5AW	50.96595	0.105639	547952	120614
RH11 7SE	RH11 7SE	51.13084	-0.191546	526637	138395
RH12 4HN	not found	0	0	0	0
RH16 4NQ	RH16 4NQ	50.991202	-0.093785	533877	123041
DL6 2FF	DL6 2FF	54.348329	-1.434461	436860	494900
TS4 3AF	TS4 3AF	54.555732	-1.217681	450695	518112
	not found	0	0	0	0
DH3 3JX	DH3 3JX	54.847382	-1.574431	427425	550369
DL14 6AE	DL14 6AE	54.654838	-1.680756	420695	528907
